asic_id,flowcell_id,centre_name,pore_type,run_type,experiment_accession,run_accession,submitted_ftp,submitted_ascp
FAF01441,3910073345,Bham,R9.4,Ligation,ERX2240897,ERR2184730,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF01441-3910073345-Bham-R9.4-Ligation.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF01441-3910073345-Bham-R9.4-Ligation.tar.gz
FAB42828,288548394,Norwich,R9.4,Ligation,ERX2240898,ERR2184731,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB42828-288548394-Norwich-R9.4-Ligation.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB42828-288548394-Norwich-R9.4-Ligation.tar.gz
FAF09968,3439856925,Bham,R9.4,Ultra,ERX2240899,ERR2184732,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF09968-3439856925-Bham-R9.4-Ultra.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF09968-3439856925-Bham-R9.4-Ultra.tar.gz
FAF05869,87644245,UBC,R9.4,Ligation,ERX2240900,ERR2184733,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF05869-87644245-UBC-R9.4-Ligation.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF05869-87644245-UBC-R9.4-Ligation.tar.gz
FAF18554,4178920553,UBC,R9.4,Rapid,ERX2240901,ERR2184734,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF18554-4178920553-UBC-R9.4-Rapid.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF18554-4178920553-UBC-R9.4-Rapid.tar.gz
FAB45280,222619780,Norwich,R9.4,Ligation,ERX2240902,ERR2184735,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB45280-222619780-Norwich-R9.4-Ligation.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB45280-222619780-Norwich-R9.4-Ligation.tar.gz
FAB49712,622291475,Bham,R9.4,Ligation,ERX2240903,ERR2184736,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB49712-622291475-Bham-R9.4-Ligation.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB49712-622291475-Bham-R9.4-Ligation.tar.gz
FAB23716,4244727060,UBC,R9,Rapid,ERX2240904,ERR2184737,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB23716-4244727060-UBC-R9-Rapid.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB23716-4244727060-UBC-R9-Rapid.tar.gz
FAB45321,285174896,Notts,R9.4,Ligation,ERX2240905,ERR2184738,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB45321-285174896-Notts-R9.4-Ligation.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB45321-285174896-Notts-R9.4-Ligation.tar.gz
FAB39043,3709921973,Bham,R9.4,Ligation,ERX2240906,ERR2184739,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB39043-3709921973-Bham-R9.4-Ligation.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB39043-3709921973-Bham-R9.4-Ligation.tar.gz
FAF13748,17958431,Notts,R9.4,Ultra,ERX2240907,ERR2184740,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF13748-17958431-Notts-R9.4-Ultra.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF13748-17958431-Notts-R9.4-Ultra.tar.gz
FAB42706,4111103328,UBC,R9.4,Ligation,ERX2240908,ERR2184741,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB42706-4111103328-UBC-R9.4-Ligation.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB42706-4111103328-UBC-R9.4-Ligation.tar.gz
FAB49908,481119249,Bham,R9.4,Rapid,ERX2240909,ERR2184742,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB49908-481119249-Bham-R9.4-Rapid.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB49908-481119249-Bham-R9.4-Rapid.tar.gz
FAF01132,84868110,Bham,R9.4,Ligation,ERX2240910,ERR2184743,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF01132-84868110-Bham-R9.4-Ligation.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF01132-84868110-Bham-R9.4-Ligation.tar.gz
